INCIDENT_CAUSE,CLAIM_STATUS,ODOMETER_AT_LOSS,LOSS_EVENT_TIME,CLAIM_INIT_TIME,POLICE_REPORT,CLAIMS_AT_LOSS_DATE,LOSS_LOCATION_LAT,LOSS_LOCATION_LONG,CLAIM_AMOUNT,FLAG_FOR_FRAUD_INV,START_DATE,EXPIRY_DATE,MODEL_YEAR,MAKE,MODEL,PLATE,COLOR,INITIAL_ODOMETER,LOW_MILEAGE_USE,FIRST_NAME,LAST_NAME,GENDER,BIRTHDATE,SSN,DRIVERS_LICENSE_EXPIRY,DRIVERS_LICENSE_STATE,DATE_AT_CURRENT_ADDRESS,CONTACT_NUMBER,EMAIL,COMMUTE_DISCOUNT
1,3,290975.1,2017-08-12,2017-08-25,0,1,41.91122338,-87.63865603,2130.0,0,4/14/16,4/14/17,2005,Kia,Optima,YSOB682,Med. Dark Gray,280368,0,Lea,Vandriessche,F,3/15/84,597-29-1657,7/2/19,IL,5/3/17,751-341-0972 ,lvandriessche@outloop.com,0
3,1,159873.2,2018-07-30,2018-07-30,1,5,41.73583545,-87.66786637,33040.0,1,2/22/17,2/22/18,2010,Hyundai,Sonata,XRIG314,Med Dk Blue,157344,0,Chuck,Matovich,M,8/17/44,859-29-4381,3/29/18,IL,7/6/08,235-819-0662 ,cmatovich@mmail.com,0
1,3,391866.9,2018-02-22,2018-02-26,0,1,41.73416431,-87.55121062,2400.0,0,1/10/17,1/10/18,1998,Dodge,Durango,WGOW284,Med Dark Green,385536,0,Charley,Royland,M,3/10/76,402-37-9515,4/1/18,IL,5/15/12,335-799-0958 ,croyland@lightemail.com,0
3,1,384000.6,2017-02-06,2017-02-06,0,3,41.79185207,-87.8013778,21330.0,1,6/4/16,6/4/17,2000,Toyota,Corolla,UDHZ478,White,370668,0,Tasha,Rew,F,11/25/67,024-31-2998,7/13/19,IL,1/14/07,238-856-0215 ,trew@mmail.com,0
2,3,251644.8,2018-07-10,2018-07-18,1,1,42.00593081,-87.68066049,3427.0,0,4/10/17,4/10/18,2007,Nissan,Rogue,QSSR643,Med Dk Blue,237900,0,Casey,Glauber,F,3/12/64,060-11-5593,4/25/20,IL,9/25/09,729-792-0612 ,cglauber@beemail.com,0
2,1,300279.3,2017-07-29,2017-08-10,0,1,41.69340052,-87.61232172,35385.5,1,11/25/16,11/25/17,2004,Chevrolet,Camaro,EBPS972,Silver,294552,0,Marguerite,Derfus,F,4/6/65,518-80-3637,4/13/19,IL,7/4/99,736-908-0587 ,mderfus@zohoo.com,0
2,3,73419.5,2017-12-30,2018-01-03,0,1,41.84014456,-87.66133946,1570.0,0,4/6/16,4/6/17,2010,Honda,HR-V,WEIJ389,Black,68880,1,Lauren,Bennerman,M,11/29/49,374-53-5198,7/15/20,IL,5/21/02,739-454-0796 ,lbennerman@fasstmail.com,0
2,3,118923.9,2018-01-16,2018-01-28,0,1,41.97517487,-87.7683442,2370.0,0,11/21/17,11/21/18,2007,Jeep,Renegade,KGAI436,Med Dk Blue,107052,1,Lavonne,Seachrist,F,11/26/77,026-12-7247,7/31/18,IL,7/16/12,241-352-0754 ,lseachrist@beemail.com,0
1,1,182681.3,2017-04-25,2017-05-07,1,1,41.89017255,-87.64999164,26250.0,1,7/23/16,7/23/17,2009,Chevrolet,Equinox,KZHI056,Light Brown,177168,0,Milford,Pudelek,M,5/6/90,757-79-0592,9/28/19,IL,11/26/04,237-895-0114 ,mpudelek@husshmail.com,0
5,1,160429.9,2018-02-10,2018-02-19,1,3,41.84065787,-87.72589914,25830.0,1,7/11/17,7/11/18,2011,Nissan,Versa,FZEB641,Med Red,155820,0,Margret,Parizek,F,10/28/77,422-73-7053,7/22/21,IL,2/23/07,221-587-0845 ,mparizek@husshmail.com,0
2,1,165363.7,2018-01-23,2018-01-24,1,4,41.88470505,-87.66704583,23483.0,1,4/23/17,4/23/18,2010,Hyundai,Tucson,QWRA025,Med Dark Green,159408,0,Stephan,Kebe,M,6/5/79,677-32-8448,11/26/21,IL,9/18/06,840-596-0633 ,skebe@mooosend.com,0
5,3,240639.2,2016-12-01,2016-12-10,1,1,41.73618257,-87.64365982,2173.5,0,8/20/15,8/19/16,2005,Chevrolet,Express,DMGO766,Black,228228,0,Barton,Aristil,M,1/4/62,572-19-1787,9/9/20,IL,5/16/99,232-384-0920 ,baristil@mooosend.com,0
4,3,388591.3,2017-07-12,2017-07-12,1,1,41.76203035,-87.61169575,1750.0,0,4/17/16,4/17/17,2001,Dodge,Ram,HCCT626,Light Brown,379584,0,Adolfo,Ludvigson,M,12/17/80,577-65-7635,3/10/21,IL,2/12/08,749-985-0925 ,aludvigson@mmail.com,0
1,1,59498.7,2016-01-06,2016-01-08,1,1,42.00642207,-87.67812041,20310.0,1,4/18/15,4/17/16,2013,Kia,Optima,VPIX893,White,57024,0,Pablo,Yuson,M,11/14/92,674-71-5901,1/22/21,IL,11/1/06,261-881-0294 ,pyuson@lightemail.com,0
1,3,94043.6,2018-10-13,2018-10-25,0,1,41.81360176,-87.704338,2810.0,0,10/1/17,10/1/18,2014,Chevrolet,Colorado,RCGX530,Silver,81624,0,Kip,Martilla,M,8/7/81,390-56-9983,10/7/19,IL,3/12/01,634-984-0329 ,kmartilla@gmxx.com,0
4,3,69305.4,2017-07-19,2017-07-19,1,1,41.9969237,-87.80694519,2370.0,0,3/6/16,3/6/17,2014,Mazda,CX-5,CFHZ633,Light Brown,58644,0,Phil,Smets,M,4/22/35,619-49-9034,10/25/21,IL,1/7/00,723-499-0260 ,psmets@fasstmail.com,0
5,3,207764.4,2018-11-04,2018-11-13,0,1,41.95222752,-87.72742482,1320.0,0,1/14/17,1/14/18,2008,Chevrolet,Silverado,IABR557,Silver,206640,0,Edythe,Guikema,F,2/18/36,310-38-2514,5/16/19,IL,5/5/05,836-822-0418 ,eguikema@mmail.com,0
5,1,302710.0,2017-05-31,2017-06-12,0,5,41.9768951,-87.69227967,30840.0,1,4/4/16,4/4/17,2001,Acura,MDX,CIEG457,Silver,301680,0,Debora,Kostic,F,4/15/52,899-34-7907,4/28/19,IL,11/27/12,729-351-0694 ,dkostic@husshmail.com,0
4,3,109080.0,2017-03-01,2017-03-13,0,3,41.88078079,-87.73023238,1230.5,0,5/20/16,5/20/17,2012,Dodge,Ram,DIPW431,Light Brown,101292,0,Elba,Nikolopoulos,F,9/12/88,173-56-7742,12/8/18,IL,8/19/15,235-784-0008 ,enikolopoulos@zohoo.com,0
4,3,69640.2,2018-09-05,2018-09-11,0,1,41.89275285,-87.76070937,1020.0,0,7/11/17,7/11/18,2015,Toyota,Prius,ZQIT260,Silver,57780,0,Shawna,Herrador,F,6/8/48,682-40-8477,11/10/21,IL,7/18/14,723-821-0048 ,sherrador@life.com,0
2,2,281332.9,2018-12-14,2018-12-19,1,1,41.9383457,-87.71230667,2470.0,0,5/17/17,5/17/18,2004,Honda,CR-V,FVGI062,Med. Dark Gray,276972,0,Francesca,Farrelly,F,7/23/65,184-39-3490,10/18/20,IL,4/21/10,232-902-0602 ,ffarrelly@freshmaail.com,0
1,1,176864.1,2016-07-14,2016-07-25,0,2,41.90643022,-87.64830557,31020.0,1,8/23/15,8/22/16,2008,Hyundai,Tucson,AIXJ529,White,169824,0,Eloisa,Carty,F,8/9/48,619-16-2595,3/12/20,IL,11/22/02,723-262-0522 ,ecarty@inboux.com,0
3,3,223253.6,2018-11-26,2018-11-30,0,1,41.89078197,-87.63125181,1890.0,0,2/8/17,2/8/18,2009,Toyota,Corolla,SEWV088,Med Red,212976,0,Tommie,Talaga,F,4/3/42,173-46-6340,9/9/20,IL,6/1/11,739-772-0739 ,ttalaga@lightemail.com,0
3,3,139853.9,2018-07-20,2018-07-20,0,1,41.89244415,-87.63720038,1932.0,0,8/3/17,8/3/18,2012,Hyundai,Tucson,JWIW436,Light Brown,134940,0,Joan,Toder,M,10/14/97,368-73-0211,7/9/18,IL,8/27/13,821-774-0093 ,jtoder@lightemail.com,0
1,3,210844.5,2016-09-24,2016-09-26,0,1,41.8181867,-87.7433186,1730.0,0,7/25/15,7/24/16,2005,Kia,Forte,WWFJ255,Black,199452,0,Norman,Robus,M,11/8/95,789-97-8931,9/17/21,IL,1/3/00,748-836-0845 ,nrobus@yahoot.com,0
2,3,282275.4,2016-08-06,2016-08-20,0,3,41.88241054,-87.63721144,2170.0,0,9/15/15,9/14/16,2004,Ford,E-Series,NWTR387,White,276624,0,Belinda,Laughon,F,1/19/81,463-86-6888,5/20/18,IL,9/15/08,842-390-0006 ,blaughon@inboux.com,0
1,1,224281.5,2017-12-27,2017-12-29,1,2,41.93136196,-87.72315142,20380.0,1,6/27/16,6/27/17,2007,Dodge,Ram,QWPG124,Silver,222168,0,Lloyd,Highbaugh,M,6/15/37,409-13-4199,2/11/20,IL,9/7/08,235-727-0567 ,lhighbaugh@mmail.com,0
5,1,246553.7,2017-10-07,2017-10-10,1,1,41.81920073,-87.68457036,36190.0,1,3/16/16,3/16/17,2006,Toyota,Camry,JGIH775,Silver,245400,0,Elissa,Husmann,F,4/20/39,141-58-9588,11/3/20,IL,2/9/06,745-989-0324 ,ehusmann@inboux.com,0
3,1,193096.0,2018-03-30,2018-03-30,1,1,41.90191323,-87.70164516,27370.0,1,5/25/17,5/25/18,2008,Chevrolet,Traverse,WTSS934,Med Dk Blue,188184,0,Karina,Baehler,F,8/31/63,484-48-3708,4/22/21,IL,3/13/07,735-663-0507 ,kbaehler@fasstmail.com,0
2,3,68251.0,2016-02-27,2016-03-02,0,1,41.88332815,-87.62846744,2280.0,0,6/22/15,6/21/16,2010,Ford,Explorer,BOOJ912,White,61920,1,Garret,Lor,M,5/18/80,585-13-7095,8/25/20,IL,7/22/09,745-914-0060 ,glor@mmail.com,0
1,3,163689.5,2017-12-28,2018-01-09,0,3,41.84415759,-87.72469381,2360.0,0,5/27/16,5/27/17,2010,Honda,CR-V,VCIW471,Med Dk Blue,163044,0,Corina,Lindhout,F,2/4/54,294-58-5476,10/22/20,IL,11/10/07,258-791-0720 ,clindhout@zohoo.com,1
5,1,434090.0,2018-04-10,2018-04-14,1,1,41.68942688,-87.65875179,34490.0,1,6/5/17,6/5/18,1998,Nissan,Sentra,SFZL388,Silver,432000,0,Heath,Constantin,M,3/26/47,162-38-7020,4/10/20,IL,1/4/99,230-494-0682 ,hconstantin@zohoo.com,0
3,1,40609.9,2017-04-27,2017-05-10,1,1,42.0004435,-87.66085935,30350.0,1,3/25/16,3/25/17,2014,Toyota,Corolla,CTVQ181,White,28386,1,Angelia,Sobey,F,11/21/92,135-08-8872,10/24/21,IL,9/2/12,232-227-0074 ,asobey@mooosend.com,0
3,1,241219.8,2016-04-27,2016-05-05,1,3,41.86730472,-87.64397388,27310.0,1,9/20/15,9/19/16,2004,Kia,Optima,BMFT529,Silver,234144,0,Chung,Calavan,M,2/3/36,367-48-9959,1/7/19,IL,7/21/17,723-224-0927 ,ccalavan@outloop.com,0
1,1,243194.9,2016-07-04,2016-07-07,1,3,41.93457199,-87.78566027,25210.0,1,10/21/15,10/20/16,2004,Chevrolet,Camaro,EUAY902,White,233424,0,Tessa,Jugan,F,3/27/49,595-10-6395,12/20/21,IL,2/6/99,751-245-0239 ,tjugan@outloop.com,0
5,2,50221.6,2018-12-07,2018-12-10,1,1,41.89506294,-87.7530869,2950.0,0,3/26/17,3/26/18,2016,Chevrolet,Colorado,ALET311,Silver,36720,0,Chasity,Brode,F,3/2/41,771-51-3470,6/1/18,IL,9/13/08,824-658-0711 ,cbrode@fasstmail.com,0
2,3,347421.0,2016-09-18,2016-09-29,0,1,41.86252459,-87.64213178,1210.0,0,5/19/15,5/18/16,1998,Subaru,Impreza,LGKI253,Silver,339984,0,Marquis,Jastrab,M,6/28/80,125-62-6381,12/21/18,IL,6/18/10,736-592-0129 ,mjastrab@freshmaail.com,0
5,1,93436.3,2017-11-07,2017-11-21,1,1,41.77455256,-87.68336926,19340.0,1,5/21/16,5/21/17,2013,Toyota,Rav-4,MWFR194,Silver,84348,0,Thurman,Amis,M,1/18/86,867-43-0315,3/31/20,IL,7/27/99,221-411-0804 ,tamis@fasstmail.com,0
1,3,42931.6,2017-05-26,2017-06-02,0,3,41.89679903,-87.70315361,2560.0,0,3/27/16,3/27/17,2015,Hyundai,Sonata,HAFY632,Silver,40212,0,Maryann,Guadian,F,1/6/58,808-35-9985,10/23/18,IL,5/25/16,357-465-0678 ,mguadian@yahoot.com,0
1,3,86881.4,2017-11-24,2017-12-02,0,1,41.88770538,-87.62058814,2550.0,0,4/3/16,4/3/17,2013,Nissan,Altima,GZLU426,Silver,79524,0,Jamal,Pollmann,M,6/1/36,079-31-6534,4/8/19,IL,4/23/99,735-548-0345 ,jpollmann@freshmaail.com,0
2,3,47333.9,2018-10-01,2018-10-01,0,1,41.70344854,-87.68138191,1350.0,0,7/1/17,7/1/18,2016,Toyota,Corolla,LCJK787,White,37872,0,Rosa,Lambey,F,7/12/73,500-80-0804,12/2/18,IL,3/25/05,232-961-0842 ,rlambey@fasstmail.com,0
3,3,245549.0,2018-03-20,2018-03-24,0,4,41.92834542,-87.6684029,1180.0,0,6/2/17,6/2/18,2008,Buick,Enclave,RRHN760,White,232920,0,Horace,Mathesius,M,10/11/61,869-70-2920,11/13/19,IL,1/25/07,348-729-0078 ,hmathesius@yahoot.com,0
5,1,45802.6,2017-01-26,2017-02-04,0,1,41.80107195,-87.58174032,34994.5,1,7/17/16,7/17/17,2015,Kia,Soul,USOF558,Silver,44904,0,Dorian,Ziering,M,7/22/69,047-40-9266,12/10/18,IL,6/27/07,741-967-0745 ,dziering@yahoot.com,0
5,3,251473.2,2016-11-17,2016-11-18,0,1,41.8776941,-87.75352928,16680.0,0,8/19/15,8/18/16,2004,GMC,Sierra,JWLU704,Light Brown,238752,0,Claudio,Kamat,M,5/4/71,889-21-7664,9/6/19,IL,8/11/15,735-377-0720 ,ckamat@mmail.com,0
3,1,45797.8,2017-05-26,2017-06-05,1,3,42.00830436,-87.67818538,14480.0,1,7/14/16,7/14/17,2015,Ford,F-150,BJAH825,Light Brown,42864,0,Tracie,Freerksen,F,9/10/88,092-21-4340,5/2/21,IL,1/9/15,736-517-0798 ,tfreerksen@inboux.com,0
1,3,88939.1,2016-11-28,2016-12-02,1,1,41.93064372,-87.68536822,1817.0,0,1/22/15,1/22/16,2012,Ford,E-Series,NTBC226,Silver,77328,0,Bart,Hanniford,M,1/20/47,581-49-3586,9/28/20,IL,8/7/02,221-305-0141 ,bhanniford@beemail.com,0
1,3,255525.6,2018-07-12,2018-07-15,0,1,41.96457585,-87.74287565,2780.0,0,6/24/17,6/24/18,2007,Nissan,Pathfinder,WIVB188,Med Red,254364,0,Augusta,Cheathem,F,8/22/80,306-06-7315,7/1/19,IL,1/13/00,237-615-0723 ,acheathem@yahoot.com,0
3,3,262087.5,2016-02-07,2016-02-20,1,1,41.69954742,-87.64275192,2480.0,0,9/26/15,9/25/16,2004,Dodge,Ram,OVOS293,Black,251424,0,Paige,Mcleroy,F,4/22/72,739-64-7587,6/28/20,IL,8/9/16,723-583-0068 ,pmcleroy@outloop.com,0
5,3,356670.1,2018-05-06,2018-05-17,0,1,41.72258206,-87.57504199,1173.0,0,7/18/17,7/18/18,2001,Honda,Pilot,LWTV169,Silver,348132,0,Silvia,Camey,F,3/17/58,464-84-2765,6/28/20,IL,8/8/14,238-221-0831 ,scamey@outloop.com,0
1,1,248401.6,2017-09-30,2017-10-09,0,1,41.73153777,-87.58567864,21920.0,1,5/21/16,5/21/17,2006,Chrysler,300,FOHT388,Light Brown,242628,0,Lavonne,Mest,F,3/23/69,639-95-1132,3/3/19,IL,8/26/03,749-903-0705 ,lmest@gmxx.com,0
3,1,247662.7,2018-03-13,2018-03-13,1,2,41.89713934,-87.7361474,33080.0,1,1/16/17,1/16/18,2007,Mazda,CX-5,MZVJ362,Black,237732,0,Wilson,Chavis,M,7/18/75,121-99-0480,5/21/19,IL,8/10/07,265-357-0603 ,wchavis@mooosend.com,0
4,3,201218.5,2017-04-15,2017-04-24,0,1,41.73600895,-87.65571261,1510.0,0,5/13/16,5/13/17,2008,Toyota,Tacoma,BNBL630,White,198636,0,Sonny,Coppolo,M,4/3/88,444-75-5931,10/4/21,IL,8/27/16,265-314-0571 ,scoppolo@yahoot.com,0
2,1,77539.8,2018-02-26,2018-03-11,1,1,41.9471065,-87.68811976,35920.0,1,4/5/17,4/5/18,2015,GMC,Sierra,YICG726,Silver,66900,0,Benita,Pasalo,F,8/1/88,756-34-3050,6/12/18,IL,4/22/08,230-281-0130 ,bpasalo@zohoo.com,0
5,1,414306.8,2018-01-19,2018-02-01,0,1,41.9140602,-87.74602773,20230.0,1,4/22/17,4/22/18,2000,Audi,Q5,UACM064,White,400860,0,Jere,Severyn,M,5/31/44,305-52-4981,2/5/21,IL,6/13/04,247-426-0708 ,jseveryn@mmail.com,0
2,3,149077.6,2016-11-08,2016-11-08,0,1,41.88579694,-87.64570081,2170.0,0,10/14/15,10/13/16,2010,GMC,Acadia,KRIR350,Med Dk Blue,136728,0,Wilford,Peets,M,5/16/71,291-58-8054,10/9/19,IL,9/25/17,221-818-0906 ,wpeets@mooosend.com,0
5,1,325260.6,2016-09-28,2016-10-04,0,1,41.8912077,-87.64893961,34200.0,1,2/8/15,2/8/16,2000,Dodge,Grand Caravan,VTFI995,Silver,313728,0,Edgar,Decaire,M,2/25/64,438-65-0793,5/10/21,IL,7/14/17,324-510-0600 ,edecaire@fasstmail.com,0
1,3,34151.1,2016-10-31,2016-11-14,0,1,41.87195364,-87.76334923,2277.0,0,10/4/15,10/3/16,2013,Chevrolet,Silverado,BIZM948,Light Brown,32148,1,Irvin,Trouba,M,4/29/89,282-24-3163,10/19/18,IL,6/15/06,748-916-0791 ,itrouba@inboux.com,0
1,3,349263.8,2018-05-28,2018-06-03,0,1,41.90080611,-87.61972396,2850.0,0,11/2/17,11/2/18,2000,Dodge,Ram,VAUG291,Med Red,339120,0,Tracey,Jermany,M,10/2/85,535-40-2316,11/19/18,IL,6/6/00,748-247-0191 ,tjermany@mailjeep.com,0
1,3,58439.6,2016-01-12,2016-01-20,0,1,41.81674857,-87.61646799,1550.0,0,1/10/15,1/10/16,2013,Dodge,Ram,IJKJ987,Med Red,54072,0,Tanya,Jurden,F,7/11/01,602-64-5352,3/24/18,IL,2/15/04,836-550-0297 ,tjurden@gmxx.com,0
2,3,70700.8,2017-05-19,2017-06-01,0,1,41.72984108,-87.60480693,1450.0,0,9/5/16,9/5/17,2014,Ford,F-150,ZQJT789,Silver,55728,0,Rosita,Cardona,F,11/6/93,030-14-5543,7/3/18,IL,10/5/14,823-982-0183 ,rcardona@mailjeep.com,0
1,1,63610.2,2017-11-26,2017-12-01,0,1,41.86347978,-87.68928558,31450.0,1,3/20/17,3/20/18,2015,Jeep,Wrangler,RFXR430,Silver,57456,0,Dion,Pimento,M,1/11/56,458-72-9685,7/23/18,IL,5/15/03,261-657-0953 ,dpimento@fasstmail.com,0
2,1,371183.8,2016-08-26,2016-09-01,1,5,41.84714751,-87.64633938,13100.0,1,10/3/15,10/2/16,1998,Ford,F-150,JVXZ499,Black,370656,0,Clarence,Ziola,M,12/18/74,472-59-7205,7/24/19,IL,3/23/17,840-574-0215 ,cziola@gmxx.com,0
2,3,67792.3,2016-10-12,2016-10-20,0,1,41.81679293,-87.59494802,1490.0,0,2/1/15,2/1/16,2013,Dodge,Grand Caravan,CAJK640,Black,61488,0,Aldo,Grauso,M,12/12/46,055-14-4900,7/5/20,IL,10/16/05,245-911-0869 ,agrauso@zohoo.com,1
3,3,444121.7,2017-04-04,2017-04-12,1,1,41.87409237,-87.66647809,1110.0,0,4/25/16,4/25/17,1995,Ford,Mustang,OKNB982,Silver,436392,0,Theodora,Feuquay,F,12/22/88,015-17-7578,9/20/21,IL,1/16/10,738-369-0103 ,tfeuquay@husshmail.com,0
2,1,76181.7,2018-04-19,2018-05-02,1,1,41.92512769,-87.66204067,19676.5,1,3/25/17,3/25/18,2015,Ford,Expedition,YDKO913,Silver,66324,0,John,Prusko,F,2/5/45,875-66-1378,8/18/21,IL,2/8/05,237-850-0931 ,jprusko@outloop.com,0
4,1,346425.5,2016-02-29,2016-03-09,0,1,41.77965209,-87.65942423,24713.5,1,8/25/15,8/24/16,1998,Kia,Sorento,PPED277,Silver,344520,0,Lena,Salony,F,8/11/67,850-22-1955,9/6/18,IL,11/17/00,750-314-0075 ,lsalony@mooosend.com,1
2,3,174227.7,2017-02-16,2017-02-17,0,3,41.84665185,-87.64791126,2150.0,0,10/4/16,10/4/17,2010,Chrysler,Pacifica,EKZC266,Light Brown,161700,0,Will,Carmicle,M,11/16/73,588-70-8948,10/9/18,IL,3/6/13,836-567-0706 ,wcarmicle@life.com,0
2,3,148301.5,2018-06-01,2018-06-14,0,1,41.78487905,-87.69491794,2000.0,0,8/13/17,8/13/18,2012,Kia,Forte,JJTK085,White,138312,0,Angelita,Ieraci,F,10/29/63,848-09-5835,5/28/20,IL,6/20/04,241-939-0793 ,aieraci@mailjeep.com,0
3,3,199855.1,2017-10-28,2017-11-03,0,2,41.96134343,-87.69835838,1630.0,0,4/12/16,4/12/17,2007,Dodge,Ram,XMGY447,Black,187572,0,Federico,Hauptman,M,10/27/77,247-11-8534,5/17/21,IL,4/2/14,357-223-0801 ,fhauptman@beemail.com,0
1,3,234182.9,2018-11-28,2018-12-06,0,1,41.88222375,-87.75809921,1330.0,0,10/16/17,10/16/18,2006,Honda,Civic,DATS775,Light Brown,225132,0,Clarence,Slovacek,M,9/26/90,794-04-3022,3/29/20,IL,5/26/99,735-234-0772 ,cslovacek@lightemail.com,0
3,3,142857.4,2018-08-09,2018-08-14,0,2,41.83105838,-87.61678193,1170.0,0,7/7/17,7/7/18,2012,Mercedes,GLC,HHRI867,White,138252,0,Wilmer,Pitkin,M,10/5/79,483-99-9543,1/16/18,IL,6/16/07,349-241-0184 ,wpitkin@mmail.com,0
4,1,74820.6,2017-11-25,2017-12-06,1,3,41.93506582,-87.71742429,16480.0,1,3/3/16,3/3/17,2013,Chevrolet,Malibu,VKOZ537,Black,73644,0,Bettie,Macwan,F,9/5/39,651-61-8370,11/19/20,IL,2/17/14,729-788-0179 ,bmacwan@zohoo.com,0
5,1,126227.0,2017-07-30,2017-08-13,1,1,41.92027338,-87.78031813,30230.0,1,4/11/16,4/11/17,2012,Ford,Explorer,SHHQ003,Silver,117348,0,Ivory,Kutty,M,12/21/70,383-13-1409,4/30/20,IL,9/4/15,258-496-0421 ,ikutty@outloop.com,0
1,3,66583.4,2018-09-14,2018-09-25,1,1,41.89089442,-87.62019212,2090.0,0,1/27/17,1/27/18,2015,Nissan,Frontier,RYRN470,Light Brown,57252,0,Leonel,Schaefers,M,11/20/87,515-24-8279,2/11/21,IL,1/23/06,348-559-0385 ,lschaefers@inboux.com,0
1,3,165993.5,2017-10-05,2017-10-15,1,1,41.99767708,-87.69924898,1320.0,0,10/19/16,10/19/17,2000,Chevrolet,Cruze,BCCC390,Med Red,159018,1,Harley,Drymon,M,3/28/50,822-82-2620,8/4/19,IL,6/22/00,342-777-0642 ,hdrymon@zohoo.com,0
3,1,251135.4,2018-08-27,2018-09-05,1,5,41.90809991,-87.63476376,41320.0,1,1/2/17,1/2/18,2005,Toyota,Corolla,IBGM439,Black,240588,0,Aaron,Deantonio,M,5/18/00,608-93-4002,7/29/18,IL,7/16/02,750-266-0359 ,adeantonio@mmail.com,0
3,1,240903.7,2018-03-06,2018-03-12,0,2,41.77775486,-87.65066077,31740.0,1,8/15/17,8/15/18,2007,Jeep,Cherokee,ZQXG987,Med Dk Blue,236016,0,Irving,Leveque,M,7/20/45,518-59-2263,4/18/18,IL,11/20/01,350-917-0857 ,ileveque@yahoot.com,0
5,1,434497.7,2017-07-10,2017-07-21,1,1,41.90359031,-87.65921321,33400.0,1,9/11/16,9/11/17,1998,Chrysler,Pacifica,MJHG499,Light Brown,425172,0,Sue,Stansill,F,4/19/89,669-44-2891,5/20/21,IL,7/8/03,739-936-0966 ,sstansill@yahoot.com,0
